personnage_1;personnage_2;force_1;force_2;scenarios;task_1;task_2;repetition_question;id_participant;age;sexe;taille;enfant
2;9;3;5;3;4;6;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;8;2;5;6;8;2;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
2;3;3;10;8;10;0;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;5;10;2;1;10;0;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
4;8;1;5;5;10;0;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;9;2;5;2;9;1;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
1;4;3;1;7;2;8;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;9;10;5;4;8;2;1;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;8;2;5;6;9;1;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
2;9;3;5;3;6;4;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;8;2;5;9;4;6;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
2;3;3;10;8;10;0;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
1;4;3;1;7;8;2;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;5;10;2;1;9;1;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;9;2;5;2;9;1;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
4;8;1;5;5;9;1;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;9;10;5;4;8;2;2;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
2;3;3;10;8;10;0;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;5;10;2;1;9;1;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;9;2;5;2;1;9;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
2;9;3;5;3;4;6;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
1;4;3;1;7;8;2;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;8;2;5;9;4;6;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;9;10;5;4;8;2;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
5;8;2;5;6;9;1;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
4;8;1;5;5;1;9;3;a18e96144067ea9296695548c503d0a9;24;Femme;164;Non
3;9;10;8;9;0;10;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;5;9;1;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;8;1;12;7;5;5;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;9;1;8;3;3;7;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;1;10;0;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;5;6;1;4;9;1;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;2;6;4;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;6;7;3;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;9;6;8;8;5;5;1;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;5;8;2;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;8;1;12;7;5;5;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;2;7;3;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;6;7;3;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;9;1;8;3;3;7;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;5;6;1;4;8;2;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;9;6;8;8;5;5;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
3;9;10;8;9;0;10;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;1;9;1;2;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;2;6;4;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
3;9;10;8;9;0;10;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;1;9;1;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
8;9;12;8;6;7;3;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;8;1;12;7;5;5;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;9;6;8;8;5;5;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;4;6;1;5;8;2;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;5;6;1;4;8;2;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
5;9;1;8;3;3;7;3;74b27da421004afac65ee8331b575c3b;24;Homme;185;Non
1;9;6;12;5;3;7;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;3;6;10;8;9;1;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;2;6;10;1;5;5;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
2;8;10;13;2;6;4;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
8;9;13;12;4;6;4;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
3;4;10;1;7;4;6;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;4;6;1;6;9;1;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
4;8;1;13;9;6;4;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;5;6;5;3;7;3;1;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;9;6;12;5;3;7;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
4;8;1;13;9;4;6;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;4;6;1;6;8;2;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
2;8;10;13;2;3;7;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;5;6;5;3;8;2;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;2;6;10;1;5;5;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
8;9;13;12;4;5;5;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;3;6;10;8;9;1;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
3;4;10;1;7;7;3;2;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
3;4;10;1;7;7;3;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
4;8;1;13;9;4;6;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
2;8;10;13;2;4;6;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
8;9;13;12;4;6;4;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;5;6;5;3;8;2;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;2;6;10;1;5;5;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;4;6;1;6;8;2;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;3;6;10;8;9;1;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
1;9;6;12;5;3;7;3;911e3e8555a23cd8ac7ffe6c5ac54cea;28;Femme;157;Non
3;4;10;1;3;10;0;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;6;4;6;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;8;4;9;9;4;6;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
1;2;8;5;7;5;5;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;9;4;6;4;4;6;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;8;5;5;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;5;10;4;5;10;0;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;2;2;8;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;1;5;5;1;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;9;4;6;4;4;6;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;4;10;1;3;10;0;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;5;10;4;5;10;0;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;8;4;9;9;4;6;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;1;5;5;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;6;3;7;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;8;5;5;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
1;2;8;5;7;5;5;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;2;3;7;2;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;4;10;1;3;10;0;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;8;4;9;9;4;6;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
5;9;4;6;4;4;6;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;1;5;5;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;6;3;7;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
2;8;5;9;8;5;5;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
4;5;1;4;2;3;7;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;5;10;4;5;10;0;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
1;2;8;5;7;5;5;3;2dd89b1da2958b709182eb34a4a5b123;20;Homme;178;Non
3;4;10;1;8;10;0;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;1;6;4;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;5;10;1;7;0;10;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;3;3;10;2;0;10;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;4;8;2;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;9;4;6;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;5;8;2;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;8;10;8;6;6;4;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
1;2;5;3;3;8;2;1;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;5;10;1;7;0;10;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;8;10;8;6;10;0;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;3;3;10;2;0;10;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
1;2;5;3;3;8;2;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;5;8;2;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;4;10;1;8;10;0;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;9;4;6;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;1;4;6;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;4;8;2;2;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;9;4;6;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;4;8;2;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;3;3;10;2;0;10;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
5;9;1;6;1;4;6;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
2;5;3;1;5;8;2;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;4;10;1;8;10;0;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;8;10;8;6;10;0;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
3;5;10;1;7;0;10;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
1;2;5;3;3;7;3;3;df75e467fbd4cb0a67010ba0d6f1d12f;32;Homme;171;Oui
4;5;1;3;1;1;9;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;3;10;0;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;7;5;5;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
2;5;2;3;8;5;5;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
5;9;3;6;4;2;8;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;9;1;6;9;4;6;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;4;10;1;2;10;0;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;8;1;6;5;0;10;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
1;2;2;2;6;5;5;1;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;4;10;1;2;10;0;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;8;1;6;5;0;10;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;9;1;6;9;4;6;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
2;5;2;3;8;5;5;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;3;10;0;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;5;1;3;1;0;10;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;7;5;5;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
5;9;3;6;4;2;8;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
1;2;2;2;6;5;5;2;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;9;1;6;9;4;6;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
1;2;2;2;6;5;5;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;3;10;0;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;5;10;3;7;5;5;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
2;5;2;3;8;5;5;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
3;4;10;1;2;10;0;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;8;1;6;5;0;10;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
4;5;1;3;1;0;10;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
5;9;3;6;4;2;8;3;605b285d1652068c5f0f11f16760c95a;20;Homme;175;Non
8;9;7;4;8;5;5;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;4;10;1;6;9;1;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;9;3;4;4;3;7;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;2;1;9;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
1;9;5;4;5;7;3;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
4;9;1;4;3;0;10;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
5;9;2;4;9;7;3;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;1;1;9;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;5;10;2;7;0;10;1;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
5;9;2;4;9;7;3;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;9;3;4;4;2;8;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
4;9;1;4;3;0;10;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;5;10;2;7;0;10;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
1;9;5;4;5;3;7;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;4;10;1;6;10;0;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;2;1;9;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
8;9;7;4;8;5;5;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;1;0;10;2;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;1;1;9;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;3;3;10;2;1;9;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;5;10;2;7;0;10;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
5;9;2;4;9;2;8;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
3;4;10;1;6;10;0;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
8;9;7;4;8;5;5;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
4;9;1;4;3;1;9;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
2;9;3;4;4;3;7;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
1;9;5;4;5;7;3;3;f705a423aec47be4f7743499c12e5141;23;Homme;180;Non
1;5;4;2;7;5;5;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;1;6;4;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;3;6;4;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;9;1;5;4;2;8;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
3;4;10;1;6;10;0;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;2;4;6;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;8;5;5;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;4;4;1;9;5;5;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;8;4;8;5;3;7;1;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;9;1;5;4;2;8;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;8;5;5;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
3;4;10;1;6;10;0;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;2;4;6;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;8;4;8;5;3;7;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;5;4;2;7;5;5;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;3;6;4;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;4;4;1;9;5;5;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;1;6;4;2;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;3;6;4;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;8;4;8;5;3;7;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
3;4;10;1;6;10;0;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;9;1;5;4;2;8;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;8;5;5;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;4;4;1;9;5;5;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
4;5;1;2;2;4;6;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
1;5;4;2;7;5;5;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
2;8;3;8;1;6;4;3;36182860cf53309cf70131a3e8b48820;20;Homme;188;Non
5;9;3;6;6;2;8;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
8;9;9;6;4;6;4;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
3;4;10;1;5;9;1;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;9;4;6;2;4;6;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;8;4;9;3;3;7;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;9;5;6;7;5;5;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
4;9;1;6;1;2;8;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;8;5;9;8;4;6;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;2;5;4;9;6;4;1;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;8;4;9;3;3;7;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
4;9;1;6;1;2;8;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
8;9;9;6;4;6;4;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;2;5;4;9;6;4;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;9;5;6;7;5;5;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;8;5;9;8;4;6;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
5;9;3;6;6;3;7;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
3;4;10;1;5;9;1;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;9;4;6;2;4;6;2;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;2;5;4;9;6;4;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;8;5;9;8;4;6;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
1;9;5;6;7;5;5;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
4;9;1;6;1;2;8;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
3;4;10;1;5;9;1;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;9;4;6;2;4;6;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
8;9;9;6;4;7;3;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;8;4;9;3;3;7;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
5;9;3;6;6;1;9;3;e7afa82e89bc6364f94408eae98dade8;23;Homme;180;Non
2;5;5;5;8;5;5;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;7;5;5;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;4;8;1;6;8;2;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;2;4;6;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;9;8;6;1;5;5;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;3;4;6;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
4;8;1;9;9;4;6;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;5;9;1;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
3;8;10;9;4;9;1;1;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;5;9;1;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;3;4;6;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
3;8;10;9;4;9;1;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
4;8;1;9;9;4;6;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;2;4;6;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;9;8;6;1;5;5;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;7;5;5;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;4;8;1;6;9;1;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;5;5;5;8;5;5;2;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;5;5;5;8;5;5;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;5;9;1;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;2;4;6;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
3;8;10;9;4;9;1;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;4;8;1;6;9;1;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
4;8;1;9;9;4;6;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
1;9;8;6;1;5;5;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;4;5;1;7;5;5;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
5;9;5;6;3;4;6;3;9784df11072abef883e054b59215ea2f;25;Homme;183;Non
2;3;4;10;9;10;0;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;8;10;6;7;0;10;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;4;10;1;3;7;3;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;2;5;4;2;5;5;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;8;10;6;8;0;10;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;8;5;6;6;2;8;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;4;5;1;1;7;3;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
2;5;4;3;5;8;2;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;9;5;5;4;5;5;1;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
2;5;4;3;5;6;4;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;2;5;4;2;5;5;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;8;5;6;6;5;5;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;4;10;1;3;9;1;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;9;5;5;4;5;5;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;4;5;1;1;7;3;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;8;10;6;8;0;10;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;8;10;6;7;0;10;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
2;3;4;10;9;10;0;2;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
1;2;5;4;2;5;5;3;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
2;5;4;3;5;6;4;3;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
2;3;4;10;9;10;0;3;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
3;4;10;1;3;9;1;3;3af907f24883a30f77fbde89ad754e06;26;Femme;162;Non
